respondent_id,case_id,model,soundness,completeness,trusted
R03,C04,flexpension_llm,3,3,1
R03,C05,qwen_zs,3,3,0
R03,C05,claude_sonnet_4_5_teacher,4,4,0
R03,C05,flexpension_llm,4,4,1
R03,C06,qwen_zs,2,2,0
R03,C06,claude_sonnet_4_5_teacher,2,2,0
R03,C06,flexpension_llm,4,4,1
R03,C07,qwen_zs,4,4,0
R03,C07,claude_sonnet_4_5_teacher,5,5,1
R03,C07,flexpension_llm,2,3,0
R03,C08,qwen_zs,4,4,1
R03,C08,claude_sonnet_4_5_teacher,2,2,0
R03,C08,flexpension_llm,2,2,0
R03,C09,qwen_zs,1,1,0
R03,C09,claude_sonnet_4_5_teacher,4,4,0
R03,C09,flexpension_llm,4,4,1
R03,C10,qwen_zs,2,2,0
R03,C10,claude_sonnet_4_5_teacher,2,2,0
R03,C10,flexpension_llm,3,3,1
R03,C11,qwen_zs,4,4,0
R03,C11,claude_sonnet_4_5_teacher,4,4,1
R03,C11,flexpension_llm,4,4,0
R03,C12,qwen_zs,4,4,0
R03,C12,claude_sonnet_4_5_teacher,3,3,0
R03,C12,flexpension_llm,4,4,1
R04,C01,qwen_zs,1,1,1
R04,C01,claude_sonnet_4_5_teacher,1,1,0
R04,C01,flexpension_llm,1,1,0
R04,C02,qwen_zs,4,4,0
R04,C02,claude_sonnet_4_5_teacher,4,4,0
R04,C02,flexpension_llm,4,4,1
R04,C03,qwen_zs,4,4,0
R04,C03,claude_sonnet_4_5_teacher,4,4,1
R04,C03,flexpension_llm,4,4,0
R04,C04,qwen_zs,2,2,0
R04,C04,claude_sonnet_4_5_teacher,2,2,0
R04,C04,flexpension_llm,4,4,1
R04,C05,qwen_zs,2,2,0
R04,C05,claude_sonnet_4_5_teacher,4,4,1
R04,C05,flexpension_llm,4,4,0
R04,C06,qwen_zs,1,1,0
R04,C06,claude_sonnet_4_5_teacher,4,4,0
R04,C06,flexpension_llm,4,4,1
R04,C07,qwen_zs,4,4,0
R04,C07,claude_sonnet_4_5_teacher,4,4,0
R04,C07,flexpension_llm,4,4,1
R04,C08,qwen_zs,4,4,0
R04,C08,claude_sonnet_4_5_teacher,2,2,0
R04,C08,flexpension_llm,4,4,1
R04,C09,qwen_zs,4,4,0
R04,C09,claude_sonnet_4_5_teacher,4,4,0
R04,C09,flexpension_llm,5,5,1
R04,C10,qwen_zs,2,2,0
R04,C10,claude_sonnet_4_5_teacher,4,4,1
R04,C10,flexpension_llm,4,4,0
R04,C11,qwen_zs,4,4,0
R04,C11,claude_sonnet_4_5_teacher,4,4,0
R04,C11,flexpension_llm,4,4,1
R04,C12,qwen_zs,4,4,0
R04,C12,claude_sonnet_4_5_teacher,4,4,0
R04,C12,flexpension_llm,4,4,1
R05,C01,qwen_zs,4,2,0
R05,C01,claude_sonnet_4_5_teacher,4,3,0
R05,C01,flexpension_llm,4,4,1
R05,C02,qwen_zs,5,4,1
R05,C02,claude_sonnet_4_5_teacher,4,4,0
R05,C02,flexpension_llm,4,4,0
R05,C03,qwen_zs,4,4,0
R05,C03,claude_sonnet_4_5_teacher,4,4,0
R05,C03,flexpension_llm,4,4,1
R05,C04,qwen_zs,4,4,0
R05,C04,claude_sonnet_4_5_teacher,3,4,0
R05,C04,flexpension_llm,4,4,1
R05,C05,qwen_zs,2,4,0
R05,C05,claude_sonnet_4_5_teacher,4,4,0
R05,C05,flexpension_llm,4,4,1
R05,C06,qwen_zs,2,2,0
R05,C06,claude_sonnet_4_5_teacher,4,4,1
R05,C06,flexpension_llm,4,4,0
R05,C07,qwen_zs,3,3,0
R05,C07,claude_sonnet_4_5_teacher,3,4,1
R05,C07,flexpension_llm,3,3,0
R05,C08,qwen_zs,3,4,0
R05,C08,claude_sonnet_4_5_teacher,3,3,1
R05,C08,flexpension_llm,3,3,0
R05,C09,qwen_zs,3,4,0
R05,C09,claude_sonnet_4_5_teacher,4,4,1
R05,C09,flexpension_llm,4,4,0
R05,C10,qwen_zs,2,2,0
R05,C10,claude_sonnet_4_5_teacher,4,4,0
R05,C10,flexpension_llm,4,4,1
R05,C11,qwen_zs,4,4,0
R05,C11,claude_sonnet_4_5_teacher,4,4,0
R05,C11,flexpension_llm,4,4,1
R05,C12,qwen_zs,4,3,0
R05,C12,claude_sonnet_4_5_teacher,4,4,1
R05,C12,flexpension_llm,4,4,0
R06,C01,qwen_zs,4,2,0
R06,C01,claude_sonnet_4_5_teacher,3,4,0
R06,C01,flexpension_llm,4,4,1
R06,C02,qwen_zs,4,4,0
R06,C02,claude_sonnet_4_5_teacher,4,4,0
R06,C02,flexpension_llm,4,4,1
R06,C03,qwen_zs,4,2,0
R06,C03,claude_sonnet_4_5_teacher,4,3,0
R06,C03,flexpension_llm,4,3,1
R06,C04,qwen_zs,2,2,0
R06,C04,claude_sonnet_4_5_teacher,3,2,0
R06,C04,flexpension_llm,4,4,1
R06,C05,qwen_zs,4,4,0
R06,C05,claude_sonnet_4_5_teacher,4,4,1
R06,C05,flexpension_llm,3,3,0
R06,C06,qwen_zs,1,1,0
R06,C06,claude_sonnet_4_5_teacher,3,2,0
R06,C06,flexpension_llm,4,4,1
R06,C07,qwen_zs,3,3,0
R06,C07,claude_sonnet_4_5_teacher,3,3,0
R06,C07,flexpension_llm,4,4,1
R06,C08,qwen_zs,3,4,0
R06,C08,claude_sonnet_4_5_teacher,4,4,1
R06,C08,flexpension_llm,3,4,0
R06,C09,qwen_zs,3,3,0
R06,C09,claude_sonnet_4_5_teacher,4,4,0
R06,C09,flexpension_llm,4,4,1
R06,C10,qwen_zs,1,1,0
R06,C10,claude_sonnet_4_5_teacher,3,3,1
R06,C10,flexpension_llm,3,3,0
R06,C11,qwen_zs,2,4,0
R06,C11,claude_sonnet_4_5_teacher,4,4,0
R06,C11,flexpension_llm,4,4,1
R06,C12,qwen_zs,3,3,0
R06,C12,claude_sonnet_4_5_teacher,4,4,0
R06,C12,flexpension_llm,4,4,1
R07,C01,qwen_zs,4,4,0
R07,C01,claude_sonnet_4_5_teacher,4,4,0
R07,C01,flexpension_llm,4,4,1
R07,C02,qwen_zs,4,4,0
R07,C02,claude_sonnet_4_5_teacher,4,4,1
R07,C02,flexpension_llm,4,4,0
R07,C03,qwen_zs,4,4,1
R07,C03,claude_sonnet_4_5_teacher,4,4,0
R07,C03,flexpension_llm,4,4,0
R07,C04,qwen_zs,3,3,0
R07,C04,claude_sonnet_4_5_teacher,3,3,0
R07,C04,flexpension_llm,4,4,1
R07,C05,qwen_zs,2,2,0
R07,C05,claude_sonnet_4_5_teacher,3,3,0
R07,C05,flexpension_llm,4,4,1
R07,C06,qwen_zs,2,2,0
R07,C06,claude_sonnet_4_5_teacher,4,4,0
R07,C06,flexpension_llm,4,4,1
R07,C07,qwen_zs,3,3,0
R07,C07,claude_sonnet_4_5_teacher,4,4,1
R07,C07,flexpension_llm,3,3,0
R07,C08,qwen_zs,3,3,0
R07,C08,claude_sonnet_4_5_teacher,4,4,1
R07,C08,flexpension_llm,3,3,0
R07,C09,qwen_zs,3,3,0
R07,C09,claude_sonnet_4_5_teacher,4,4,1
R07,C09,flexpension_llm,4,4,0
R07,C10,qwen_zs,3,3,0
R07,C10,claude_sonnet_4_5_teacher,4,4,0
R07,C10,flexpension_llm,4,4,1
R07,C11,qwen_zs,5,5,1
R07,C11,claude_sonnet_4_5_teacher,5,5,0
R07,C11,flexpension_llm,4,4,0
R07,C12,qwen_zs,3,3,0
R07,C12,claude_sonnet_4_5_teacher,3,3,1
R07,C12,flexpension_llm,3,3,0
R08,C01,qwen_zs,3,4,0
R08,C01,claude_sonnet_4_5_teacher,4,4,0
R08,C01,flexpension_llm,4,4,1
R08,C02,qwen_zs,3,2,0
R08,C02,claude_sonnet_4_5_teacher,2,2,0
R08,C02,flexpension_llm,3,2,1
R08,C03,qwen_zs,3,2,0
R08,C03,claude_sonnet_4_5_teacher,3,2,0
R08,C03,flexpension_llm,3,2,1
R08,C04,qwen_zs,4,2,1
R08,C04,claude_sonnet_4_5_teacher,2,2,0
R08,C04,flexpension_llm,2,2,0
R08,C05,qwen_zs,3,2,0
R08,C05,claude_sonnet_4_5_teacher,4,3,1
R08,C05,flexpension_llm,2,2,0
R08,C06,qwen_zs,2,2,0
R08,C06,claude_sonnet_4_5_teacher,2,2,0
R08,C06,flexpension_llm,3,2,1
R08,C07,qwen_zs,3,2,0
R08,C07,claude_sonnet_4_5_teacher,2,2,0
R08,C07,flexpension_llm,3,3,1
R08,C08,qwen_zs,3,2,0
R08,C08,claude_sonnet_4_5_teacher,3,2,1
R08,C08,flexpension_llm,2,2,0
R08,C09,qwen_zs,2,2,0
R08,C09,claude_sonnet_4_5_teacher,3,2,0
R08,C09,flexpension_llm,3,2,1
R08,C10,qwen_zs,2,2,0
R08,C10,claude_sonnet_4_5_teacher,3,2,0
R08,C10,flexpension_llm,3,2,1
R08,C11,qwen_zs,3,2,0
R08,C11,claude_sonnet_4_5_teacher,3,2,0
R08,C11,flexpension_llm,4,2,1
R08,C12,qwen_zs,3,2,1
R08,C12,claude_sonnet_4_5_teacher,3,2,0
R08,C12,flexpension_llm,3,2,0
R09,C01,qwen_zs,4,3,0
R09,C01,claude_sonnet_4_5_teacher,4,4,0
R09,C01,flexpension_llm,5,5,1
R09,C02,qwen_zs,4,4,0
R09,C02,claude_sonnet_4_5_teacher,4,4,0
R09,C02,flexpension_llm,5,4,1
R09,C03,qwen_zs,3,3,0
R09,C03,claude_sonnet_4_5_teacher,4,4,0
R09,C03,flexpension_llm,4,3,1
R09,C04,qwen_zs,4,4,0
R09,C04,claude_sonnet_4_5_teacher,2,2,0
R09,C04,flexpension_llm,4,2,1
R09,C05,qwen_zs,4,3,0
R09,C05,claude_sonnet_4_5_teacher,4,4,1
R09,C05,flexpension_llm,3,2,0
R09,C06,qwen_zs,3,3,0
R09,C06,claude_sonnet_4_5_teacher,4,3,0
R09,C06,flexpension_llm,4,4,1
R09,C07,qwen_zs,4,4,0
R09,C07,claude_sonnet_4_5_teacher,4,4,1
R09,C07,flexpension_llm,2,2,0
R09,C08,qwen_zs,2,2,0
R09,C08,claude_sonnet_4_5_teacher,4,4,1
R09,C08,flexpension_llm,3,2,0
R09,C09,qwen_zs,3,3,0
R09,C09,claude_sonnet_4_5_teacher,4,4,1
R09,C09,flexpension_llm,4,4,0
R09,C10,qwen_zs,3,3,0
R09,C10,claude_sonnet_4_5_teacher,4,4,0
R09,C10,flexpension_llm,4,4,1
R09,C11,qwen_zs,4,4,0
R09,C11,claude_sonnet_4_5_teacher,4,4,0
R09,C11,flexpension_llm,4,4,1
R09,C12,qwen_zs,4,4,0
R09,C12,claude_sonnet_4_5_teacher,4,4,0
R09,C12,flexpension_llm,4,4,1
R10,C01,qwen_zs,4,4,0
R10,C01,claude_sonnet_4_5_teacher,4,4,1
R10,C01,flexpension_llm,4,4,0
R10,C02,qwen_zs,5,5,1
R10,C02,claude_sonnet_4_5_teacher,4,4,0
R10,C02,flexpension_llm,4,4,0
R10,C03,qwen_zs,4,4,0
R10,C03,claude_sonnet_4_5_teacher,4,5,1
R10,C03,flexpension_llm,4,4,0
R10,C04,qwen_zs,4,4,0
R10,C04,claude_sonnet_4_5_teacher,4,4,0
R10,C04,flexpension_llm,5,5,1
R10,C05,qwen_zs,3,3,0
R10,C05,claude_sonnet_4_5_teacher,4,4,0
R10,C05,flexpension_llm,4,4,1
R10,C06,qwen_zs,4,4,0
R10,C06,claude_sonnet_4_5_teacher,4,5,0
R10,C06,flexpension_llm,5,5,1
R10,C07,qwen_zs,4,4,0
R10,C07,claude_sonnet_4_5_teacher,5,5,1
R10,C07,flexpension_llm,4,4,0
R10,C08,qwen_zs,4,4,0
R10,C08,claude_sonnet_4_5_teacher,5,5,1
R10,C08,flexpension_llm,3,3,0
R10,C09,qwen_zs,2,2,0
R10,C09,claude_sonnet_4_5_teacher,4,5,1
R10,C09,flexpension_llm,4,4,0
R10,C10,qwen_zs,1,1,0
R10,C10,claude_sonnet_4_5_teacher,3,3,0
R10,C10,flexpension_llm,4,4,1
R10,C11,qwen_zs,2,2,1
R10,C11,claude_sonnet_4_5_teacher,2,2,0
R10,C11,flexpension_llm,1,2,0
R10,C12,qwen_zs,3,4,0
R10,C12,claude_sonnet_4_5_teacher,4,4,0
R10,C12,flexpension_llm,4,4,1
R11,C01,qwen_zs,4,2,0
R11,C01,claude_sonnet_4_5_teacher,4,2,0
R11,C01,flexpension_llm,4,4,1
R11,C02,qwen_zs,4,2,0
R11,C02,claude_sonnet_4_5_teacher,4,2,1
R11,C02,flexpension_llm,4,2,0
R11,C03,qwen_zs,4,2,0
R11,C03,claude_sonnet_4_5_teacher,3,2,1
R11,C03,flexpension_llm,3,2,0
R11,C04,qwen_zs,2,2,0
R11,C04,claude_sonnet_4_5_teacher,2,3,0
R11,C04,flexpension_llm,4,4,1
R11,C05,qwen_zs,4,2,0
R11,C05,claude_sonnet_4_5_teacher,4,4,0
R11,C05,flexpension_llm,4,3,1
R11,C06,qwen_zs,4,1,0
R11,C06,claude_sonnet_4_5_teacher,2,3,0
R11,C06,flexpension_llm,4,4,1
R11,C07,qwen_zs,4,2,0
R11,C07,claude_sonnet_4_5_teacher,4,4,1
R11,C07,flexpension_llm,2,2,0
R11,C08,qwen_zs,4,2,0
R11,C08,claude_sonnet_4_5_teacher,4,2,0
R11,C08,flexpension_llm,4,4,1
R11,C09,qwen_zs,2,3,0
R11,C09,claude_sonnet_4_5_teacher,4,4,1
R11,C09,flexpension_llm,4,2,0
R11,C10,qwen_zs,1,1,0
R11,C10,claude_sonnet_4_5_teacher,4,2,1
R11,C10,flexpension_llm,4,2,0
R11,C11,qwen_zs,4,4,1
R11,C11,claude_sonnet_4_5_teacher,4,2,0
R11,C11,flexpension_llm,3,4,0
R11,C12,qwen_zs,4,2,0
R11,C12,claude_sonnet_4_5_teacher,4,3,0
R11,C12,flexpension_llm,4,4,1
R12,C01,qwen_zs,4,4,0
R12,C01,claude_sonnet_4_5_teacher,4,4,0
R12,C01,flexpension_llm,4,4,1
R12,C02,qwen_zs,4,4,1
R12,C02,claude_sonnet_4_5_teacher,4,4,0
R12,C02,flexpension_llm,4,4,0
R12,C03,qwen_zs,3,3,0
R12,C03,claude_sonnet_4_5_teacher,3,3,1
R12,C03,flexpension_llm,3,3,0
R12,C04,qwen_zs,4,4,0
R12,C04,claude_sonnet_4_5_teacher,4,4,1
R12,C04,flexpension_llm,4,4,0
R12,C05,qwen_zs,2,3,0
R12,C05,claude_sonnet_4_5_teacher,2,3,1
R12,C05,flexpension_llm,2,3,0
R12,C06,qwen_zs,1,1,0
R12,C06,claude_sonnet_4_5_teacher,3,2,0
R12,C06,flexpension_llm,2,2,1
R12,C07,qwen_zs,3,2,0
R12,C07,claude_sonnet_4_5_teacher,3,3,1
R12,C07,flexpension_llm,2,2,0
R12,C08,qwen_zs,4,4,0
R12,C08,claude_sonnet_4_5_teacher,2,2,1
R12,C08,flexpension_llm,2,2,0
R12,C09,qwen_zs,4,4,1
R12,C09,claude_sonnet_4_5_teacher,2,2,0
R12,C09,flexpension_llm,2,3,0
R12,C10,qwen_zs,1,1,0
R12,C10,claude_sonnet_4_5_teacher,2,2,0
R12,C10,flexpension_llm,3,3,1
R12,C11,qwen_zs,4,4,0
R12,C11,claude_sonnet_4_5_teacher,4,4,1
R12,C11,flexpension_llm,4,4,0
R12,C12,qwen_zs,3,2,0
R12,C12,claude_sonnet_4_5_teacher,4,3,1
R12,C12,flexpension_llm,3,3,0
R13,C01,qwen_zs,3,2,0
R13,C01,claude_sonnet_4_5_teacher,4,4,0
R13,C01,flexpension_llm,4,4,1
R13,C02,qwen_zs,4,2,0
R13,C02,claude_sonnet_4_5_teacher,3,2,0
R13,C02,flexpension_llm,5,4,1
R13,C03,qwen_zs,4,4,0
R13,C03,claude_sonnet_4_5_teacher,4,4,0
R13,C03,flexpension_llm,4,4,1
R13,C04,qwen_zs,4,4,0
R13,C04,claude_sonnet_4_5_teacher,2,4,0
R13,C04,flexpension_llm,4,4,1
R13,C05,qwen_zs,4,4,0
R13,C05,claude_sonnet_4_5_teacher,4,3,0
R13,C05,flexpension_llm,4,4,1
R13,C06,qwen_zs,3,1,0
R13,C06,claude_sonnet_4_5_teacher,2,3,0
R13,C06,flexpension_llm,4,4,1
R13,C07,qwen_zs,4,4,0
R13,C07,claude_sonnet_4_5_teacher,4,4,1
R13,C07,flexpension_llm,2,4,0
R13,C08,qwen_zs,2,4,0
R13,C08,claude_sonnet_4_5_teacher,4,4,1
R13,C08,flexpension_llm,3,4,0
R13,C09,qwen_zs,3,4,0
R13,C09,claude_sonnet_4_5_teacher,4,4,0
R13,C09,flexpension_llm,4,4,1
R13,C10,qwen_zs,2,3,0
R13,C10,claude_sonnet_4_5_teacher,4,4,0
R13,C10,flexpension_llm,4,4,1
R13,C11,qwen_zs,2,4,0
R13,C11,claude_sonnet_4_5_teacher,2,3,0
R13,C11,flexpension_llm,4,3,1
R13,C12,qwen_zs,4,3,0
R13,C12,claude_sonnet_4_5_teacher,4,4,1
R13,C12,flexpension_llm,4,4,0
R14,C01,qwen_zs,4,4,0
R14,C01,claude_sonnet_4_5_teacher,4,4,0
R14,C01,flexpension_llm,4,4,1
R14,C02,qwen_zs,4,4,0
R14,C02,claude_sonnet_4_5_teacher,4,4,0
R14,C02,flexpension_llm,5,5,1
R14,C03,qwen_zs,4,4,0
R14,C03,claude_sonnet_4_5_teacher,5,5,1
R14,C03,flexpension_llm,4,4,0
R14,C04,qwen_zs,4,4,1
R14,C04,claude_sonnet_4_5_teacher,4,4,0
R14,C04,flexpension_llm,2,3,0
R14,C05,qwen_zs,4,4,0
R14,C05,claude_sonnet_4_5_teacher,5,5,1
R14,C05,flexpension_llm,3,3,0
R14,C06,qwen_zs,3,3,0
R14,C06,claude_sonnet_4_5_teacher,5,5,1
R14,C06,flexpension_llm,4,4,0
R14,C07,qwen_zs,4,4,1
R14,C07,claude_sonnet_4_5_teacher,2,3,0
R14,C07,flexpension_llm,4,4,0
R14,C08,qwen_zs,4,4,0
R14,C08,claude_sonnet_4_5_teacher,4,4,1
R14,C08,flexpension_llm,3,4,0
R14,C09,qwen_zs,4,4,0
R14,C09,claude_sonnet_4_5_teacher,4,4,0
R14,C09,flexpension_llm,5,4,1
R14,C10,qwen_zs,3,3,0
R14,C10,claude_sonnet_4_5_teacher,4,4,0
R14,C10,flexpension_llm,4,4,1
R14,C11,qwen_zs,4,4,0
R14,C11,claude_sonnet_4_5_teacher,4,4,0
R14,C11,flexpension_llm,4,4,1
R14,C12,qwen_zs,4,4,0
R14,C12,claude_sonnet_4_5_teacher,4,4,0
R14,C12,flexpension_llm,5,5,1
R15,C01,qwen_zs,4,4,1
R15,C01,claude_sonnet_4_5_teacher,3,4,0
R15,C01,flexpension_llm,3,3,0
R15,C02,qwen_zs,4,4,0
R15,C02,claude_sonnet_4_5_teacher,4,4,0
R15,C02,flexpension_llm,4,4,1
R15,C03,qwen_zs,3,3,0
R15,C03,claude_sonnet_4_5_teacher,3,3,0
R15,C03,flexpension_llm,3,3,1
R15,C04,qwen_zs,3,3,0
R15,C04,claude_sonnet_4_5_teacher,3,3,0
R15,C04,flexpension_llm,4,4,1
R15,C05,qwen_zs,4,4,1
R15,C05,claude_sonnet_4_5_teacher,3,4,0
R15,C05,flexpension_llm,3,4,0
R15,C06,qwen_zs,3,1,0
R15,C06,claude_sonnet_4_5_teacher,4,4,1
R15,C06,flexpension_llm,4,3,0
R15,C07,qwen_zs,3,3,0
R15,C07,claude_sonnet_4_5_teacher,4,4,1
R15,C07,flexpension_llm,3,3,0
R15,C08,qwen_zs,3,3,0
R15,C08,claude_sonnet_4_5_teacher,3,3,0
R15,C08,flexpension_llm,4,4,1
R15,C09,qwen_zs,3,3,0
R15,C09,claude_sonnet_4_5_teacher,4,4,1
R15,C09,flexpension_llm,4,3,0
R15,C10,qwen_zs,3,1,0
R15,C10,claude_sonnet_4_5_teacher,4,4,1
R15,C10,flexpension_llm,4,4,0
R15,C11,qwen_zs,4,4,1
R15,C11,claude_sonnet_4_5_teacher,4,4,0
R15,C11,flexpension_llm,4,4,0
R15,C12,qwen_zs,4,4,0
R15,C12,claude_sonnet_4_5_teacher,4,4,1
R15,C12,flexpension_llm,4,4,0
R16,C01,qwen_zs,4,4,0
R16,C01,claude_sonnet_4_5_teacher,4,4,1
R16,C01,flexpension_llm,4,4,0
R16,C02,qwen_zs,4,3,0
R16,C02,claude_sonnet_4_5_teacher,4,3,1
R16,C02,flexpension_llm,4,3,0
R16,C03,qwen_zs,4,4,0
R16,C03,claude_sonnet_4_5_teacher,5,5,1
R16,C03,flexpension_llm,3,3,0
R16,C04,qwen_zs,2,3,0
R16,C04,claude_sonnet_4_5_teacher,4,4,1
R16,C04,flexpension_llm,3,2,0
R16,C05,qwen_zs,3,4,0
R16,C05,claude_sonnet_4_5_teacher,4,4,0
R16,C05,flexpension_llm,4,4,1
R16,C06,qwen_zs,4,2,1
R16,C06,claude_sonnet_4_5_teacher,3,3,0
R16,C06,flexpension_llm,3,3,0
R16,C07,qwen_zs,3,2,0
R16,C07,claude_sonnet_4_5_teacher,4,4,1
R16,C07,flexpension_llm,4,3,0
R16,C08,qwen_zs,2,2,0
R16,C08,claude_sonnet_4_5_teacher,4,4,1
R16,C08,flexpension_llm,3,3,0
R16,C09,qwen_zs,4,4,1
R16,C09,claude_sonnet_4_5_teacher,2,2,0
R16,C09,flexpension_llm,2,2,0
R16,C10,qwen_zs,2,2,0
R16,C10,claude_sonnet_4_5_teacher,4,4,0
R16,C10,flexpension_llm,4,4,1
R16,C11,qwen_zs,4,4,1
R16,C11,claude_sonnet_4_5_teacher,4,4,0
R16,C11,flexpension_llm,4,4,0
R16,C12,qwen_zs,2,2,0
R16,C12,claude_sonnet_4_5_teacher,2,2,0
R16,C12,flexpension_llm,4,4,1
R17,C01,qwen_zs,5,5,0
R17,C01,claude_sonnet_4_5_teacher,5,5,0
R17,C01,flexpension_llm,5,5,1
R17,C02,qwen_zs,4,4,0
R17,C02,claude_sonnet_4_5_teacher,4,4,0
R17,C02,flexpension_llm,5,5,1
R17,C03,qwen_zs,4,4,0
R17,C03,claude_sonnet_4_5_teacher,4,4,0
R17,C03,flexpension_llm,5,5,1
R17,C04,qwen_zs,2,2,0
R17,C04,claude_sonnet_4_5_teacher,4,4,1
R17,C04,flexpension_llm,2,2,0
R17,C05,qwen_zs,1,1,0
R17,C05,claude_sonnet_4_5_teacher,4,4,0
R17,C05,flexpension_llm,5,5,1
R17,C06,qwen_zs,1,1,0
R17,C06,claude_sonnet_4_5_teacher,3,3,0
R17,C06,flexpension_llm,4,4,1
R17,C07,qwen_zs,5,5,1
R17,C07,claude_sonnet_4_5_teacher,1,1,0
R17,C07,flexpension_llm,4,4,0
R17,C08,qwen_zs,1,1,0
R17,C08,claude_sonnet_4_5_teacher,5,5,1
R17,C08,flexpension_llm,2,2,0
R17,C09,qwen_zs,4,4,1
R17,C09,claude_sonnet_4_5_teacher,1,1,0
R17,C09,flexpension_llm,1,1,0
R17,C10,qwen_zs,1,1,0
R17,C10,claude_sonnet_4_5_teacher,4,4,0
R17,C10,flexpension_llm,5,5,1
R17,C11,qwen_zs,4,4,0
R17,C11,claude_sonnet_4_5_teacher,4,4,0
R17,C11,flexpension_llm,5,5,1
R17,C12,qwen_zs,4,4,0
R17,C12,claude_sonnet_4_5_teacher,4,4,0
R17,C12,flexpension_llm,5,5,1
R18,C01,qwen_zs,4,4,0
R18,C01,claude_sonnet_4_5_teacher,4,4,0
R18,C01,flexpension_llm,4,4,1
R18,C02,qwen_zs,4,3,0
R18,C02,claude_sonnet_4_5_teacher,4,3,1
R18,C02,flexpension_llm,3,4,0
R18,C03,qwen_zs,3,3,0
R18,C03,claude_sonnet_4_5_teacher,4,4,1
R18,C03,flexpension_llm,3,3,0
R18,C04,qwen_zs,4,4,0
R18,C04,claude_sonnet_4_5_teacher,3,4,0
R18,C04,flexpension_llm,3,4,1
